Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
584	SR-JFM-048	LAB	52.62	0.11	27.74	0.00	0.00	2.50	0.02	0.14	10.90	5.01	0.42	0.04	0.49	0.00	0.00	0.00	0.00	0.00		
585	SR-JFM-049	FOR	41.95	0.01	0.49	0.57	0.00	8.49	0.13	49.33	0.38	0.02	0.12	0.01	0.05	0.00	0.00	0.00	0.00	0.00		
586	MM-MEM-063	BULK	83.00	9.40	0.00	0.00	0.00	6.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ. Jeol 845 scanning electron microscope w/EDS	Qualitative coating composition
587	MM-MEM-064	BULK	93.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ. Jeol 845 scanning electron microscope w/EDS	Qualitative coating composition
588	MM-MEM-065	BULK	86.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ. Jeol 845 scanning electron microscope w/EDS	Qualitative coating composition
589	MM-MEM-066	BULK	98.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ. Jeol 845 scanning electron microscope w/EDS	"Qualitative coating composition, S: 2 %"
590	MM-MEM-067	BULK	98.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ. Jeol 845 scanning electron microscope w/EDS	"Qualitative coating composition, S: 1.2 %"
591	MM-MEM-068	BULK	50.00	1.00	9.00	0.00	0.00	20.00	0.50	8.00	10.00	0.70	0.30	0.70	0.00	0.00	0.00	0.00	0.00	0.00		Basalt glass 100%
592	SR-EAC-011	SER	44.70	0.04	1.71	0.00	9.53	0.00	0.13	41.83	0.64	1.41	0.01	0.00	0.00	13.00	1746.00	58.00	21.00	26.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 17 ppm, Zr 8 ppm, Cr 1865 ppm, Rb 21 ppm, Y 6 ppm, Ba 28 ppm"
593	SR-EAC-012	SER	43.32	0.08	2.54	0.00	10.49	0.00	0.24	38.99	3.38	0.91	0.06	0.00	0.00	111.00	2469.00	67.00	45.00	40.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 5 ppm, Zr 6 ppm, Cr 2820 ppm, Rb 4 ppm, Ba 38 ppm"
594	SR-EAC-013	SER	43.49	0.10	3.19	0.00	11.57	0.00	0.18	36.56	3.85	0.98	0.08	0.00	0.00	91.00	2279.00	70.00	37.00	50.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 2 ppm, Zr 10 ppm, Cr 2750 ppm, Rb 3 ppm, Ba 26 ppm"
595	SR-EAC-014	SER	46.02	0.06	2.34	0.00	8.49	0.00	0.14	41.46	0.28	1.20	0.01	0.00	0.00	25.00	1552.00	49.00	43.00	23.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 4 ppm, Zr 6 ppm, Cr 1835 ppm, Rb 3 ppm, Ba 12 ppm"
596	SR-EAC-015	SER	44.74	0.01	1.35	0.00	9.34	0.00	0.14	43.02	0.21	1.19	0.00	0.00	0.00	23.00	1840.00	55.00	26.00	17.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 2 ppm, Zr 6 ppm, Cr 2682 ppm, Rb 3 ppm, Ba 35 ppm"
597	SR-EAC-016	SER	46.64	0.01	1.13	0.00	8.52	0.00	0.12	42.10	0.45	1.03	0.00	0.00	0.00	53.00	1967.00	47.00	33.00	18.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 9 ppm, Zr 3 ppm, Cr 2337 ppm, Rb 7 ppm, Nb 6 ppm, Ba 8 ppm"
598	SR-EAC-017	SER	47.01	0.00	0.52	0.00	9.23	0.00	0.15	42.10	0.01	0.98	0.00	0.00	0.00	34.00	2303.00	53.00	28.00	5.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Zr 7 ppm, Cr 2260 ppm, Y 1 ppm, Ba 14 ppm"
599	SR-EAC-018	SER	46.01	0.00	0.53	0.00	10.44	0.00	0.20	41.74	0.01	1.07	0.00	0.00	0.00	23.00	2983.00	69.00	38.00	4.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Zr 6 ppm, Cr 3593 ppm, Rb 2 ppm, Y 2 ppm, Nb 2 ppm, Ba 12 ppm"
600	SR-EAC-019	SER	46.05	0.00	1.58	0.00	8.53	0.00	0.16	42.40	0.02	1.16	0.00	0.00	0.00	78.00	2278.00	55.00	23.00	3.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Zr 9 ppm, Cr 2705 ppm, Rb 2 ppm, Ba 37 ppm"
601	SR-EAC-020	SER	43.08	0.04	2.09	0.00	10.56	0.00	0.17	42.63	0.09	1.34	0.00	0.00	0.00	11.00	2307.00	64.00	28.00	18.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 2 ppm, Zr 9 ppm, Cr 2632 ppm, Rb 5 ppm, Y 1 ppm, Ba 9 ppm"
602	SR-EAC-021	SER	43.82	0.02	1.90	0.00	10.34	0.00	0.18	39.75	3.06	0.87	0.06	0.00	0.00	61.00	1798.00	63.00	33.00	33.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Sr 3 ppm, Zr 6 ppm, Cr 2729 ppm, Rb 5 ppm, Ba 33 ppm"
603	SR-EAC-023	SER	46.67	0.00	0.45	0.00	3.99	0.00	0.07	47.74	0.01	1.08	0.00	0.00	0.00	14.00	806.00	24.00	27.00	0.00	"Pranoti Asher at Univ. of Connecticut, USA"	"Zr 6 ppm, Cr 929 ppm, Rb 3 ppm, Ba 18 ppm"
604	FB-JFM-031-3OP	OPX	55.40	0.03	3.84	0.63	0.00	5.95	0.15	33.56	0.76	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Zachary Morgan at Brown University	
605	FB-JFM-031-3CP	CPX	51.95	0.08	4.65	1.09	0.00	2.39	0.09	16.50	22.95	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Zachary Morgan at Brown University	
606	FB-JFM-031-3OL	OLV 	41.03	0.00	0.00	0.01	0.00	8.95	0.14	50.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Zachary Morgan at Brown University	
607	SR-JFM-050	MIC	64.22	0.01	19.05	0.01	0.00	0.17	0.01	0.01	0.02	3.12	12.97	0.01	0.58	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
608	SR-JFM-051	CHR 	0.31	0.08	0.00	0.00	0.00	92.61	0.04	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
609	SR-JFM-053	OLG	63.49	0.01	22.50	0.01	0.00	0.21	0.01	0.01	3.36	9.21	0.60	0.05	0.24	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
610	SR-JFM-054	BIO 	39.03	2.17	11.20	0.01	0.00	19.67	0.80	13.99	0.51	0.53	8.80	0.01	0.69	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
611	SR-JFM-057	ATH	60.08	0.10	0.84	0.07	2.63	0.00	0.43	27.32	3.50	0.90	0.17	0.00	3.27	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
612	SR-JFM-058	ILM	0.01	47.81	0.01	0.00	0.00	48.05	0.21	3.13	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
613	SR-JFM-059	CLC	28.73	0.47	17.48	0.17	0.00	8.03	0.15	30.95	0.01	0.01	0.01	0.03	11.97	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
614	SR-JFM-060	AND	53.85	0.12	27.09	0.02	0.00	0.53	0.01	0.07	9.51	5.55	0.34	0.10	1.22	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
615	SR-JFM-061	QTZ	102.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
616	SR-JFM-062	OLG	60.79	0.02	22.05	0.10	0.00	0.00	0.02	0.85	5.37	6.71	0.91	0.02	1.06	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
617	SR-JFM-063	MHT	45.12	0.24	9.94	0.16	8.31	0.00	0.00	18.69	11.73	2.20	0.78	0.00	1.42	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
618	SR-JFM-064	SER	42.28	0.02	1.21	0.00	0.00	3.79	0.06	38.50	0.04	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
619	SR-JFM-065	ALM	37.50	0.00	20.73	0.00	0.00	38.97	0.84	1.67	1.80	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
620	SR-JFM-066	ANC	62.86	0.15	19.90	0.20	0.00	0.30	0.04	1.01	2.64	5.17	4.32	0.06	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
621	SR-JFM-067	PYM	46.18	0.00	0.11	0.00	0.00	0.11	50.59	0.40	1.75	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
622	SR-JFM-068	CHL	28.65	0.05	19.31	0.00	0.00	7.20	0.14	30.48	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
623	SR-JFM-069	OLG	60.41	0.01	21.88	0.00	0.00	4.16	0.08	0.06	3.24	9.37	0.79	0.01	0.15	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
624	SR-JFM-070	WOL	52.14	0.05	0.68	0.00	0.00	0.45	0.05	2.91	43.48	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
625	SR-JFM-071	MUS	43.77	0.16	33.41	0.00	0.00	2.36	0.06	0.22	0.01	0.69	9.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
626	SR-JFM-074	PYM	45.36	0.00	0.19	0.00	0.00	0.32	51.21	0.38	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	
627	SR-JFM-075	WOL	50.78	0.01	0.11	0.00	0.00	0.16	0.02	0.45	48.93	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Arizona State Univ.	H2O: 0.10 %
628	RM-HYM-061	PLG 	45.69	0.00	32.97	0.00	0.00	0.59	0.00	0.00	17.85	1.19	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Smithsonian Institution Dept. of Mineral Sci. & Univ. Tennessee	
629	RM-HYM-061	PYX 	48.28	0.58	0.77	0.22	0.00	32.05	0.99	9.78	5.83	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Smithsonian Institution Dept. of Mineral Sci. & Univ. Tennessee	
630	RM-HYM-061	FAY	30.32	0.13	0.24	0.05	0.00	61.37	1.31	4.33	0.63	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Smithsonian Institution Dept. of Mineral Sci. & Univ. Tennessee	
631	RM-HYM-063	BULK	50.00	0.90	14.00	0.39	0.00	17.00	0.58	6.80	10.60	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Smithsonian Institution Dept. of Mineral Sci. & Univ. Tennessee	
632	JM-TGS-070	BULK	50.55	1.05	15.71	0.00	0.00	6.10	0.42	0.67	13.44	0.10	11.79	0.17	0.00	0.00	0.00	0.00	0.00	0.00	Washington State Univ.	
633	JM-TGS-072	BULK	49.71	1.04	15.97	0.00	0.00	5.36	0.33	0.68	14.87	0.08	11.80	0.16	0.00	0.00	0.00	0.00	0.00	0.00	Washington State Univ.	
634	AG-TJM-008	OLV 	40.81	0.00	0.00	0.00	0.00	9.55	0.14	49.42	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Smithsonian Institution, E. J. Jarosewich"	Fo 90.5 Fa 9.5
635	AG-TJM-009	HYP	54.09	0.16	1.23	0.75	0.00	15.22	0.49	26.79	1.52	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Smithsonian Institution, E. J. Jarosewich"	"H2O 0.00 %, En 73.6 Fs 23.5 Wo 3.0"
636	AG-TJM-010	AUG 	50.73	0.74	8.73	0.00	1.08	5.37	0.13	16.65	15.82	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Smithsonian Institution, E. J. Jarosewich"	"H2O 0.04 %, En 52.7 Fs 11.4 Wo 36.0"
637	AG-TJM-011	LAB	51.25	0.05	30.91	0.00	0.34	0.15	0.01	0.14	13.64	3.45	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Smithsonian Institution, E. J. Jarosewich"	"H2O 0.05 %, An 67.7 Ab 31.2 Or 1.1"
638	DD-MDD-099	OLV 	31.00	0.00	0.00	0.00	44.24	23.64	0.00	0.87	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Martha Schaeffer	
639	DD-MDD-100	OLV 	30.43	0.01	0.01	0.00	22.36	41.67	3.14	0.38	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Martha Schaeffer	
640	DD-MDD-101	OLV 	29.00	0.00	0.00	0.00	33.53	35.92	4.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Martha Schaeffer	
641	AL-EAC-002	ALL	47.85	0.00	4.79	0.00	0.15	0.00	0.00	0.40	0.63	0.00	0.09	0.05	12.56	398000.00	125.00	0.00	0.00	10.00	XRRF by Stan Mertzman - Franklin and Marshall College	"SO3: 0.23 %, Zr: 10 ppm, Sr: 35 ppm, Cr: <5 ppm"
642	EA-EAC-019-A	CEL	57.51	0.00	2.53	0.00	18.19	3.57	0.02	3.91	0.20	0.22	10.28	0.01	5.37	0.00	0.00	0.00	0.00	315.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 40 ppm, Sr: 20 ppm, Cr: 25 ppm"
643	CH-EAC-016	CHM	27.38	0.42	6.97	0.00	57.05	0.00	0.15	3.59	3.36	0.27	0.05	0.00	12.58	0.00	0.00	0.00	0.00	920.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 197 ppm, Sr: 101 ppm, Cr: 370 ppm"
644	EA-EAC-022-A	CHY	21.15	0.00	44.70	0.00	0.16	0.00	0.06	0.20	0.92	0.37	0.03	0.06	26.58	0.00	0.00	0.00	0.00	45.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 30 ppm, Sr: 205 ppm, Cr: 35 ppm"
645	EA-EAC-014	CLC	33.78	0.22	21.63	0.00	4.23	5.96	0.20	32.18	0.07	0.11	0.00	0.02	11.89	260.00	1120.00	80.00	0.00	140.00	XRRF by Stan Mertzman - Franklin and Marshall College	"SO3: 0.32 %, Zr: 15 ppm, Sr: 8 ppm, Cr: 375 ppm"
646	HA-EAC-001	HAL	53.18	0.00	45.46	0.00	0.44	0.00	0.01	0.11	0.15	0.07	0.05	0.14	16.29	50.00	125.00	2.00	0.00	10.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 15 ppm, Sr: 20 ppm, Cr: 145 ppm"
647	EA-EAC-031-A	PHL	44.53	0.34	13.23	0.00	1.15	2.65	0.08	25.78	0.11	0.26	10.87	0.02	0.43	0.00	0.00	0.00	0.00	45.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 20 ppm, Sr: 125 ppm, Cr: 10 ppm"
648	SA-EAC-059	SAP	46.92	0.30	9.86	0.00	14.25	3.94	0.39	17.52	4.29	0.73	0.07	0.04	17.25	0.00	0.00	0.00	0.00	80.00	XRRF by Stan Mertzman - Franklin and Marshall College	"Zr: 53 ppm, Sr: 186 ppm, Cr: 72 ppm"
649	EA-EAC-015	TLC	63.23	0.03	1.46	0.00	0.55	0.43	0.01	32.46	0.29	0.12	0.00	0.11	3.72	25.00	20.00	3.00	0.00	41.00	XRRF by Stan Mertzman - Franklin and Marshall College	"SO3: 0.25 %, Zr: 54 ppm, Sr: 25 ppm, Cr: 3 ppm"
650	OG-CMA-001	ORG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		"C: 66.5 %, H: 3.3 %, N: 2.5 %, O: 16.2 %, S: ~4 %, 8.4 wt% minerals"
651	PP-EJH-102-A	PYX 	47.55	1.27	9.10	0.01	1.22	2.26	0.04	12.21	24.72	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	J. De Grave et al. (2002)	
652	ER-TGS-001	AUG 	48.94	0.22	3.23	0.08	13.43	0.00	0.30	9.82	18.59	2.46	0.36	0.00	0.64	0.00	0.00	0.00	0.00	0.00		
653	ER-TGS-001	ASI	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
654	ER-TGS-005	MON	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		Na 0.33 (Al 1.67 Mg 0.33) Si 4 O 10 (OH)2
655	JG-JJG-001	GLS 	33.32	17.14	7.78	0.38	0.00	21.02	0.29	11.12	7.73	0.30	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Sasha Krot	
656	IL-M1O-005	ILM	1.70	53.64	1.27	0.10	17.36	20.80	1.65	0.62	0.02	0.00	0.01	0.04	0.00	0.00	150.00	0.00	340.00	0.00		"SO3: 0.03 %, ZrO: 0.145 %"
657	DP-JNG-001-A	BULK	45.89	1.58	16.95	0.00	14.25	0.00	0.21	5.97	11.99	2.21	0.16	0.16	0.00	0.00	0.00	0.00	0.00	0.00	"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."	
658	DP-JNG-002-A	BULK	49.57	2.82	15.13	0.00	14.59	0.00	0.20	4.31	8.49	2.98	1.05	0.35	0.00	0.00	0.00	0.00	0.00	0.00	"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."	
659	DP-JNG-003-A	BULK	 	3.88	15.46	0.00	16.25	0.00	0.22	4.79	8.60	2.77	1.34	0.32	0.00	0.00	0.00	0.00	0.00	0.00	"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."	
660	DP-JNG-004-A	BULK	45.15	3.65	16.03	0.00	15.74	0.00	0.20	5.22	8.78	2.84	1.49	0.52	0.00	0.00	0.00	0.00	0.00	0.00	"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."	
661	DP-JNG-005-A	BULK	45.25	3.77	15.58	0.00	15.88	0.00	0.20	5.22	8.21	2.91	1.68	0.52	0.00	0.00	0.00	0.00	0.00	0.00	"Shukla A. D. et al. (2001) Proc. Indian Acad. Sci. (Earth Planet. Sci.) 110, 111-132."	
662	MT-TJM-068	BULK	34.19	0.16	3.28	0.53	0.00	26.84	0.20	24.62	2.64	0.43	0.03	0.25	0.00	0.00	2900.00	100.00	0.00	0.00		
663	LR-CMP-144	AUG 	51.06	0.79	2.73	0.95	0.00	13.69	0.23	14.83	16.31	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al.  Augute composition by Sarbadhikari et al."	
664	LR-CMP-145	PYX 	52.59	0.35	1.33	0.77	0.00	19.09	0.33	21.15	4.80	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al.  Pigeonite composition by Sarbadhikari et al."	
665	LR-CMP-146	PLG 	45.62	0.00	33.32	0.00	0.00	0.57	0.00	0.19	18.60	0.92	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
666	LR-CMP-147	AUG 	48.21	3.51	4.13	0.89	0.00	8.25	0.16	14.58	19.84	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
667	LR-CMP-148	PIG 	52.86	0.83	1.02	0.38	0.00	17.30	0.35	23.33	3.74	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
668	LR-CMP-149	PLG 	46.64	0.00	32.89	0.00	0.00	0.34	0.00	0.21	17.67	1.40	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
669	LR-CMP-150	ILM	0.01	54.20	0.02	0.74	0.00	39.60	0.36	4.55	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
670	LR-CMP-151	PLG 	44.10	0.00	35.30	0.00	0.00	0.12	0.00	0.00	19.20	0.49	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
671	LR-CMP-152	BULK	47.81	1.77	8.87	0.00	0.00	19.97	0.00	9.07	10.32	0.28	0.03	0.08	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
672	LR-CMP-160	AUG 	48.30	1.15	1.52	0.29	0.00	25.40	0.38	11.00	10.80	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
673	LR-CMP-161	AUG 	51.00	0.61	1.35	0.55	0.00	20.30	0.35	18.30	6.80	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
674	LR-CMP-162	OLV 	34.20	0.00	0.03	0.14	0.00	42.00	0.40	22.40	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
675	LR-CMP-163	PLG 	45.80	0.00	33.20	0.00	0.00	0.51	0.00	0.24	18.10	0.98	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
676	LR-CMP-164	AUG 	49.20	2.07	2.47	0.58	0.00	14.50	0.30	14.80	15.20	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
677	LR-CMP-165	PIG 	51.20	1.07	1.20	0.36	0.00	20.10	0.37	19.70	6.17	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
678	LR-CMP-166	PLG 	46.80	0.00	32.70	0.00	0.00	0.36	0.00	0.20	17.30	1.43	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
679	LR-CMP-167	ILM	0.03	53.70	0.21	1.04	0.00	41.40	0.36	3.06	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
680	LR-CMP-154	BULK	44.24	2.26	8.48	0.00	0.00	22.47	0.00	11.19	9.45	0.24	0.03	0.06	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	
681	LR-CMP-156	BULK	38.37	12.83	8.78	0.58	0.00	18.71	0.25	9.41	10.43	0.43	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	S: 0.175 %
682	LR-CMP-158	BULK	37.84	12.97	8.85	0.61	0.00	18.46	0.28	9.89	10.07	0.35	0.06	0.05	0.00	0.00	0.00	0.00	0.00	0.00	"PGI, Taylor et al."	S: 0.15 %
683	MT-HYM-084	BULK	38.79	0.09	2.32	0.45	0.00	14.96	0.30	24.28	1.83	0.96	0.10	0.29	0.00	0.00	0.00	0.00	0.00	0.00	Jarosewich (1990)	
684	MT-HYM-085	BULK	41.27	0.12	2.32	0.57	0.00	18.19	0.36	25.64	1.90	0.95	0.10	0.25	0.00	0.00	0.00	0.00	0.00	0.00	Jarosewich (1990)	
685	NT-MBW-004	NON	52.90	1.20	14.10	0.00	23.90	0.00	0.00	0.00	2.60	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00		H2O: 5.3 %
686	ER-TGS-013	OLV 	40.62	0.00	0.00	0.00	0.00	8.82	0.12	48.99	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
687	ER-TGS-014	AUG 	53.88	0.06	1.19	0.00	0.00	1.58	0.08	18.12	24.76	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
688	ER-TGS-015	AND	55.00	0.00	28.68	0.00	0.00	0.00	0.01	0.00	9.87	6.03	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
689	ER-TGS-016	MON	62.90	0.16	19.30	0.00	3.85	0.12	0.01	2.80	1.80	1.54	0.56	0.06	5.10	0.00	0.00	0.00	0.00	0.00	"Analyzed by C. V. Clemency, Dept. of Geological Sci., SUNY, Buffalo, NY."	"F: 0.111 %, CO2: 1.33 %"
690	ER-TGS-017	SIL	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
691	PL-HYM-054	PLG 	67.90	0.00	19.90	0.00	0.00	0.00	0.02	0.02	0.63	9.71	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Milam et al. 2004	An 2
692	PL-HYM-055	PLG 	54.20	0.00	24.40	0.00	2.16	0.00	0.05	1.32	9.80	4.34	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Milam et al. 2004	An 51
693	PL-HYM-056	PLG 	54.80	0.00	26.50	0.00	1.10	0.00	0.03	0.24	10.40	4.02	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Milam et al. 2004	An 53
694	PL-HYM-057	PLG 	50.90	0.00	29.80	0.00	0.30	0.00	0.02	0.15	13.40	3.42	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Milam et al. 2004	An 68
695	PL-HYM-058	PLG 	49.10	0.00	30.40	0.00	0.50	0.00	0.04	0.45	14.50	2.86	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Milam et al. 2004	An 73
696	PL-MDD-059	PLG 	56.04	0.12	25.38	0.00	0.32	1.33	0.03	1.04	10.48	4.02	1.10	0.04	0.43	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 59.1
697	PL-MDD-060	PLG 	55.55	0.07	27.27	0.00	0.25	0.55	0.01	0.26	10.91	4.16	0.92	0.02	0.25	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 59.1
698	PL-MDD-061	PLG 	53.75	0.07	28.86	0.00	0.06	0.62	0.01	0.21	11.51	4.58	0.55	0.02	0.21	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 58.1
699	PL-MDD-062	PLG 	55.12	0.08	27.95	0.00	0.02	0.56	0.01	0.30	10.75	4.87	0.61	0.03	0.21	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 55
700	PL-MDD-063	PLG 	56.03	0.10	26.58	0.00	0.17	0.99	0.02	0.39	10.29	4.61	0.88	0.04	0.26	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 55.2
701	PL-MDD-064	PLG 	51.65	0.03	30.02	0.00	0.10	0.49	0.02	0.51	13.55	3.72	0.25	0.01	0.39	0.00	0.00	0.00	0.00	0.00	MHC (Lundgaard et al. 2006)	An 66.8
