Sample ID	Text	Unit	Mineral #1	%	Chem. #	Mineral #2	%	Chem. #	Mineral #3	%	Chem. #	Mineral #4	%	Chem. #	Mineral #5	%	Chem. #	Mineral #6	%	Chem. #	Mineral #7	%	Chem. #	Mineral #8	%	Chem. #	Mineral #9	%	Chem. #	Mineral #10	%	Chem. #
JE-JEE-017	Lunar soil simulant 17	Wt	PLG	97.14 	0	OLV	1.11 	0	ORT	1.02 	0	DIO	0.18 	0	HYP	0.41 	0	ILM	0.06 	0	MAG	0.07 	0	APA	0.02 	0						
JE-JEE-018	Lunar soil simulant 18	Wt	PLG	97.14 	0	OLV	1.11 	0	ORT	1.02 	0	DIO	0.18 	0	HYP	0.41 	0	ILM	0.06 	0	MAG	0.07 	0	APA	0.02 	0						
JE-JEE-029	Lunar soil simulant 29	Wt	GLS	49.30 	788	PLG	37.10 	787	OLV	9.00 	790	KSI	1.40 	0	CHR	1.10 	0	SFD	1.00 	0	TMG	0.40 	791	ALB	0.30 	0	QTZ	0.20 	0	CHL	0.10 	0
JE-JEE-030	Lunar soil simulant 30	Wt	GLS	49.30 	788	PLG	37.10 	787	OLV	9.00 	790	KSI	1.40 	0	CHR	1.10 	0	SFD	1.00 	0	TMG	0.40 	791	ALB	0.30 	0	QTZ	0.20 	0	CHL	0.10 	0
JE-JEE-032	Lunar soil simulant 32	Wt	GLS	15.41 	794	PLG	63.24 	795	OLV	6.35 	796	CPX	3.24 	797	OPX	5.94 	798	CHL	2.38 	0	QTZ	0.94 	0	ALB	0.53 	0	PHO	0.49 	0	MAG	0.41 	0
JJ-JRJ-001	Albitite		ALB	96.90 	0	QTZ	2.00 	0	KFS	1.00 	0	AMP	0.10 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
JJ-JRJ-014	Anorthosite		ALB	20.31 	0	QTZ	0.27 	0	ORT	0.51 	0	ANO	67.17 	0	WOL	3.50 	0	ENS	3.41 	0	FS	3.42 	0		0.00 	0		0.00 	0		0.00 	0
KC-KMC-053	CI chondrite regolith simulant		SER	62.00 	0	OLV	7.00 	0	MAG	13.50 	0	PYT	6.50 	0	EPS	6.00 	0	ORG	5.00 	0												
KC-KMC-054	CR chondrite regolith simulant		PYX	31.00 	0	OLV	33.00 	0	MAG	14.00 	0	ANT	9.00 	0	FEN	5.00 	0	PYT	4.00 	0	ORG	2.00 	0	SOS	2.00 	0						
LI-EAC-001-E        	CA-3E 		QTZ	20.80 	0	FSP	10.80 	0	CAL	27.70 	0	DOL	1.90 	0	SID	10.50 	0	PYT	8.00 	0	HEU	17.50 	0	ILL	0.90 	0	SMC	1.90 	0	   	0.00 	0
LM-LAM-007-73       	"EETA79001,73"		   	36.73 	0	DIO	22.87 	0	ANO	19.41 	0	ALB	14.22 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LM-LAM-007-79       	"EETA79001,79"		   	36.73 	0	DIO	22.87 	0	ANO	19.41 	0	ALB	14.22 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LM-LAM-007-PA       	EETA79001 Lith.A		HYP	46.32 	0	DIO	15.92 	0	OLV	13.90 	0	ANO	11.53 	0	ALB	7.08 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LM-LAM-007-PB       	EETA79001 Lith.B		HYP	36.73 	0	DIO	22.87 	0	ANO	19.41 	0	ALB	14.22 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LM-LAM-008          	"ALHA84025,21"		FOR	90.00 	0	AUG	10.00 	0	CHR	1.00 	0	   	14.22 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LR-CMP-141	"15058,276"	Vol	FAY	0.10 	0	OPX	3.70 	0	AUG	16.70 	0	PIG	25.60 	0	FPX	17.10 	0	PLG	30.10 	0	TRD	3.50 	0	ILM	1.40 	0	SPI	1.00 	0	KGL	0.50 	0
LR-CMP-143	"70035,188"	Vol	OLV	1.20 	0	AUG	27.70 	0	PIG	20.20 	0	FPX	1.10 	0	PLG	30.10 	0	ILM	17.40 	0	CSP	0.30 	0	TRD	0.90 	0	TRO	0.30 	0	KGL	0.60 	0
LR-CMP-153	"15058,276 bulk"	Vol	OLV	0.10 	0	FPX	17.10 	0	OPX	3.70 	0	PIG	16.70 	0	AUG	25.60 	0	PLG	30.10 	0	TRD	3.50 	0	ILM	1.40 	0	SPI	0.90 	0	KGL	0.50 	0
LR-CMP-155	"15555,965 bulk"	Vol	OLV	11.80 	0	FPX	5.40 	0	OPX	0.30 	0	PIG	32.40 	0	AUG	18.60 	0	PLG	27.30 	0	TRD	0.80 	0	ILM	1.30 	0	CHR	0.40 	0		0.00 	0
LR-CMP-157	"70017,535 bulk"	Vol	OLV	1.50 	0	FPX	0.60 	0	PLG	25.70 	0	PIG	17.70 	0	AUG	34.20 	0	ILM	17.30 	0	TRD	1.60 	0	SPI	0.30 	0	KGL	0.60 	0	OPQ	0.30 	0
LR-CMP-159	"70035,188 bulk"	Vol	OLV	1.20 	0	FPX	1.10 	0	PLG	30.10 	0	PIG	20.20 	0	AUG	27.70 	0	ILM	17.40 	0	TRD	0.90 	0	SPI	0.30 	0	KGL	0.60 	0	OPQ	0.40 	0
LS-CMP-008-A        	"60019,215 Clast A "		PLG	49.20 	0	OLV	45.70 	0	OPX	3.20 	0	OTH	1.90 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-008-B        	"60019,215 Clast B "		PLG	93.90 	0	AUG	6.10 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-008-D        	"60019,215 Clast D "		PLG	83.30 	0	OLV	2.00 	0	OPX	9.30 	0	AUG	2.00 	0	OTH	3.40 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-008-G        	"60019,215 Clast G "		PLG	78.10 	0	OPX	20.50 	0	OTH	1.40 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-009          	12063199		CPX	100.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0
