SpectrumID	SampleID	Date	ReleaseDate	SpecCode	Start	Stop	Resolution	SourceAngle	DetectAngle	AzimuthAngle	PhaseAngle	Temperature	Atmosphere	PhotoFile	Spinning	Aperture	Scrambler	Depolarizer	User	NASA_PI_Sponsor	ResearchType	Reference			
C6AF10	AF-CMP-010	3-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	-40.0	0.0	80.0	Room	Ambient						CMP						
C1AF11	AF-CMP-011	29-Mar-91	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C2AF11	AF-CMP-011	1-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	30.0	0.0	10.0	Room	Ambient						CMP						
C3AF11	AF-CMP-011	2-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	-40.0	0.0	80.0	Room	Ambient						CMP						
C4AF11	AF-CMP-011	4-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C5AF11	AF-CMP-011	4-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	30.0	0.0	10.0	Room	Ambient						CMP						
C6AF11	AF-CMP-011	3-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	-40.0	0.0	80.0	Room	Ambient						CMP						
C7AF11	AF-CMP-011	8-Apr-91	31-Dec-00	BD-VNIR	300	2600	5.0	40.0	-40.0	0.0	80.0	Room	Ambient						CMP						
C1AF21	AF-JFM-021	5-Jul-94	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						JFM						
C1AF22	AF-JFM-022	5-Jul-94	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						JFM						
C1AF23	AF-JFM-023	5-Jul-94	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						JFM						
C1AF24	AF-JFM-024	5-Jul-94	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						JFM						
C1AF25	AF-JFM-025	12-Jul-94	31-Dec-00	BD-VNIR	300	1750	5.0	30.0	0.0	0.0	30.0	Room	Ambient						JFM						
C1AF05	AF-RLH-005	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AF06	AF-RLH-006	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AF07	AF-RLH-007	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AF08	AF-RLH-008	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AF09	AF-RLH-009	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AF10	AF-RLH-010	19-Mar-90	31-Dec-00	BD-VNIR	300	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient						RLH						
C1AG02	AG-BXR-002	6-May-99	7-May-01	BD-VNIR	350	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		"Student, NASA-ESA-FSU-Japan-Canada"				
C2AG02	AG-BXR-002	13-May-99	14-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C2AG03	AG-BXR-002	13-May-99	14-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
LAAG02	AG-BXR-002	18-May-99	18-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C1AG03	AG-BXR-003	6-May-99	7-May-01	BD-VNIR	350	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
LAAG03	AG-BXR-003	18-May-99	18-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C1AG04	AG-BXR-004	21-May-99	20-May-01	BD-VNIR	350	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	7.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C2AG04	AG-BXR-004	19-May-99	19-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	7.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
LAAG04	AG-BXR-004	21-May-99	20-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C1AG05	AG-BXR-005	11-May-99	10-May-01	BD-VNIR	350	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C1AG06	AG-BXR-005	11-May-99	10-May-01	BD-VNIR	800	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C2AG05	AG-BXR-005	18-May-99	15-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
LAAG05	AG-BXR-005	18-May-99	18-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C2AG06	AG-BXR-006	18-May-99	15-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
