PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS372.DAT	WLS372.DAT	LS-JBA-155-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS326.DAT	WLS326.DAT	LS-JBA-155-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS370.DAT	WLS370.DAT	LS-JBA-155-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS470.DAT	WLS470.DAT	LS-JBA-155-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS044.DAT	WLS044.DAT	LS-JBA-155-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS438.DAT	WLS438.DAT	LS-JBA-155-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS185.DAT	WLS185.DAT	LS-JBA-156-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS186.DAT	WLS186.DAT	LS-JBA-156-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS182.DAT	WLS182.DAT	LS-JBA-156-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS083.DAT	WLS083.DAT	LS-JBA-157-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS150.DAT	WLS150.DAT	LS-JBA-157-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS272.DAT	WLS272.DAT	LS-JBA-157-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS192.DAT	WLS192.DAT	LS-JBA-158-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS733.DAT	WLS733.DAT	LS-JBA-158-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS189.DAT	WLS189.DAT	LS-JBA-158-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS734.DAT	WLS734.DAT	LS-JBA-158-N  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS188.DAT	WLS188.DAT	LS-JBA-158-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS740.DAT	WLS740.DAT	LS-JBA-158-P  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS612.DAT	WLS612.DAT	LS-JBA-159-M  	22-Apr-86	351	2515	3	NA	NA
JBA	LS	CLS735.DAT	WLS735.DAT	LS-JBA-159-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS290.DAT	WLS290.DAT	LS-JBA-159-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS240.DAT	WLS240.DAT	LS-JBA-159-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS613.DAT	WLS613.DAT	LS-JBA-159-N  	22-Apr-86	351	2515	3	NA	NA
JBA	LS	CLS327.DAT	WLS327.DAT	LS-JBA-159-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS407.DAT	WLS407.DAT	LS-JBA-159-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS611.DAT	WLS611.DAT	LS-JBA-159-P  	22-Apr-86	351	2515	3	NA	NA
JBA	LS	CLS471.DAT	WLS471.DAT	LS-JBA-159-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS043.DAT	WLS043.DAT	LS-JBA-159-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS055.DAT	WLS055.DAT	LS-JBA-160-MX 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS129.DAT	WLS129.DAT	LS-JBA-160-NX1	2-Jul-85	351	2515	3	NA	NA
